legacy_id,title,author,price,category,source,image_url,is_recommended,is_new,sales_count,is_active
ozumuzni-etirap-qilayli,ئۆزىمىزنى ئېتىراپ قىلايلى,ئەختەم ئۆمەر,265,رومانلار,romanlar.html,sample-book-cover.png,false,false,0,false
romanlar-2,رومان كىتابى 2,ئاپتور ئىسمى,200,رومانلار,romanlar.html,sample-book-cover.png,false,false,0,false
romanlar-3,رومان كىتابى 3,ئاپتور ئىسمى,200,رومانلار,romanlar.html,sample-book-cover.png,false,false,0,false
romanlar-4,رومان كىتابى 4,ئاپتور ئىسمى,200,رومانلار,romanlar.html,sample-book-cover.png,false,false,0,false
romanlar-5,رومان كىتابى 5,ئاپتور ئىسمى,200,رومانلار,romanlar.html,sample-book-cover.png,false,false,0,false
romanlar-6,رومان كىتابى 6,ئاپتور ئىسمى,265,رومانلار,romanlar.html,sample-book-cover.png,false,false,0,false
tarikhiy-romanlar-1,تارىخىي رومان 1,ئاپتور ئىسمى,200,تارىخىي رومانلار,tarikhiy-romanlar.html,sample-book-cover.png,false,false,0,false
tarikhiy-romanlar-2,تارىخىي رومان 2,ئاپتور ئىسمى,200,تارىخىي رومانلار,tarikhiy-romanlar.html,sample-book-cover.png,false,false,0,false
tarikhiy-romanlar-3,تارىخىي رومان 3,ئاپتور ئىسمى,200,تارىخىي رومانلار,tarikhiy-romanlar.html,sample-book-cover.png,false,false,0,false
tarikhiy-romanlar-4,تارىخىي رومان 4,ئاپتور ئىسمى,200,تارىخىي رومانلار,tarikhiy-romanlar.html,sample-book-cover.png,false,false,0,false
tarikhiy-romanlar-5,تارىخىي رومان 5,ئاپتور ئىسمى,200,تارىخىي رومانلار,tarikhiy-romanlar.html,sample-book-cover.png,false,false,0,false
tarikhiy-romanlar-6,تارىخىي رومان 6,ئاپتور ئىسمى,200,تارىخىي رومانلار,tarikhiy-romanlar.html,sample-book-cover.png,false,false,0,false
sheirlar-1,شېئىر كىتابى 1,ئاپتور ئىسمى,200,شېئىرلار,sheirlar.html,sample-book-cover.png,false,false,0,false
sheirlar-2,شېئىر كىتابى 2,ئاپتور ئىسمى,200,شېئىرلار,sheirlar.html,sample-book-cover.png,false,false,0,false
sheirlar-3,شېئىر كىتابى 3,ئاپتور ئىسمى,200,شېئىرلار,sheirlar.html,sample-book-cover.png,false,false,0,false
sheirlar-4,شېئىر كىتابى 4,ئاپتور ئىسمى,200,شېئىرلار,sheirlar.html,sample-book-cover.png,false,false,0,false
sheirlar-5,شېئىر كىتابى 5,ئاپتور ئىسمى,200,شېئىرلار,sheirlar.html,sample-book-cover.png,false,false,0,false
sheirlar-6,شېئىر كىتابى 6,ئاپتور ئىسمى,200,شېئىرلار,sheirlar.html,sample-book-cover.png,false,false,0,false
hekayiler-1,ھېكايە كىتابى 1,ئاپتور ئىسمى,200,ھېكايىلەر,hekayiler.html,sample-book-cover.png,false,false,0,false
hekayiler-2,ھېكايە كىتابى 2,ئاپتور ئىسمى,200,ھېكايىلەر,hekayiler.html,sample-book-cover.png,false,false,0,false
hekayiler-3,ھېكايە كىتابى 3,ئاپتور ئىسمى,200,ھېكايىلەر,hekayiler.html,sample-book-cover.png,false,false,0,false
hekayiler-4,ھېكايە كىتابى 4,ئاپتور ئىسمى,200,ھېكايىلەر,hekayiler.html,sample-book-cover.png,false,false,0,false
hekayiler-5,ھېكايە كىتابى 5,ئاپتور ئىسمى,200,ھېكايىلەر,hekayiler.html,sample-book-cover.png,false,false,0,false
hekayiler-6,ھېكايە كىتابى 6,ئاپتور ئىسمى,200,ھېكايىلەر,hekayiler.html,sample-book-cover.png,false,false,0,false
